,Project Name,Project Language,Technical Debt Ratio,Number of Lines of Code,Technical Debt
0,angularjs,js,13.2,119737,472731
1,ansible,python,2.3,75683,51102
2,AppIntro,kotlin,0.1,2028,80
3,atom,js,3.4,40102,40622
4,bfg-repo-cleaner,scala,0.9,1478,413
5,BigDL,scala,1.8,105868,57847
6,breeze,scala,1.7,37686,19622
7,brew,ruby,1.8,46535,25756
8,capistrano,ruby,1.8,1807,983
9,chartjs,js,3.7,12028,13424
10,CocoaPods,ruby,0.4,13870,1813
11,create-react-app,js,5.3,9867,15737
12,devise,ruby,0.9,3778,989
13,django,python,1.4,82829,33947
14,dotty,scala,5.8,8892,15510
15,etcd,go,0.7,102636,23004
16,express,js,9.0,1829,4965
17,finagle,scala,0.8,66496,15767
18,flask,python,0.6,3200,558
19,frp,go,0.2,12685,689
20,gin,go,0.3,4186,389
21,gogs,go,0.4,37249,4400
22,httpie,python,1.5,3565,1604
23,huginn,ruby,2.3,15471,10628
24,hugo,go,0.3,56673,4622
25,iosched,kotlin,0.1,19521,365
26,jquery,js,7.5,6643,14886
27,keras,python,0.8,54266,13359
28,kotlinx.coroutines,kotlin,0.3,28799,2329
29,ktor,kotlin,0.2,79780,5143
30,kubernetes,go,0.5,287722,41450
31,leakcanary,kotlin,0.3,23153,2385
32,lodash,js,6.7,5137,10354
33,marathon,scala,1.5,42091,19204
34,material-dialogs,kotlin,0.1,7613,234
35,MaterialDrawer,kotlin,0.4,8620,1145
36,metasploit,ruby,1.9,238087,135416
37,moby,go,0.3,100154,9551
38,prometheus,go,0.4,47547,5467
39,rails,ruby,1.0,82709,24303
40,react,js,4.6,110134,151071
41,recyclerview-animators,kotlin,0.2,1882,132
42,requests,python,0.9,2641,752
43,rubocop,ruby,0.6,39352,7166
44,sbt,scala,1.7,56177,28368
45,scala-js,scala,1.7,77765,38524
46,scala-native,scala,2.6,90318,71674
47,scalaz,scala,2.4,32137,23243
48,scikit-learn,python,1.1,49967,17077
49,scrapy,python,1.4,12309,5236
50,shadowsocks-android,kotlin,0.2,9355,641
51,sinatra,ruby,1.4,2629,1066
52,tachiyomi,kotlin,0.2,41409,2241
53,threejs,js,5.6,34010,56766
54,traefik,go,0.2,34191,2398
55,transformers,python,2.2,136582,90641
56,v2ray-core,go,0.2,47318,3406
57,vagrant,ruby,1.6,49214,23855
58,vue,js,6.1,15034,27556
59,youtubedl,python,2.5,122999,91475
