Project Name,Project Language,Monotonic Trend is Present,Normalized TD Trend Type,p-value,Z-value
etcd,go,True,Upward,7.057150331224449e-06,4.4919575162940655
moby,go,False,No trend,0.13312848419605983,-1.5018785229652765
express,js,True,Upward,0.0017362046118154506,3.13199900923252
vue,js,False,No trend,0.31873312668851006,-0.9970646573991493
kotlinx.coroutines,kotlin,True,Downward,0.007839543040639052,-2.6589034284570143
ktor,kotlin,False,No trend,0.09727654970369648,-1.658202751064044
django,python,True,Downward,7.460698725481052e-14,-7.479566238564802
scikit-learn,python,True,Downward,0.0016723944118111067,-3.142976193352976
rails,ruby,False,No trend,0.3355805902927256,-0.9629341103963077
vagrant,ruby,True,Upward,6.210587599753126e-13,7.1957953757175215
dotty,scala,True,Upward,1.4631600375736298e-09,6.048372875892173
finagle,scala,True,Downward,2.3521184999708566e-12,-7.011831742257598
